"","id","cond","age","x","y","z","trial","round","agegroup"
"454",3,"Rough",10,3,0,21,11,2,"9-11"
"455",3,"Rough",10,3,6,16,12,2,"9-11"
"456",3,"Rough",10,1,3,25,13,2,"9-11"
"457",3,"Rough",10,6,2,16,14,2,"9-11"
"458",3,"Rough",10,2,5,25,15,2,"9-11"
"459",3,"Rough",10,7,5,7,16,2,"9-11"
"460",3,"Rough",10,5,5,39,17,2,"9-11"
"461",3,"Rough",10,2,7,17,18,2,"9-11"
"462",3,"Rough",10,7,1,15,19,2,"9-11"
"463",3,"Rough",10,5,3,1,20,2,"9-11"
"464",3,"Rough",10,4,2,15,21,2,"9-11"
"465",3,"Rough",10,2,2,22,22,2,"9-11"
"466",3,"Rough",10,4,5,31,23,2,"9-11"
"467",3,"Rough",10,1,4,19,24,2,"9-11"
"468",3,"Rough",10,3,4,26,25,2,"9-11"
"469",3,"Rough",10,1,5,24,0,3,"9-11"
"470",3,"Rough",10,6,5,35,1,3,"9-11"
"471",3,"Rough",10,3,1,16,2,3,"9-11"
"472",3,"Rough",10,1,3,18,3,3,"9-11"
"473",3,"Rough",10,6,2,29,4,3,"9-11"
"474",3,"Rough",10,3,7,12,5,3,"9-11"
"475",3,"Rough",10,4,4,32,6,3,"9-11"
"476",3,"Rough",10,7,4,17,7,3,"9-11"
"477",3,"Rough",10,0,0,27,8,3,"9-11"
"478",3,"Rough",10,5,6,30,9,3,"9-11"
"479",3,"Rough",10,1,7,24,10,3,"9-11"
"480",3,"Rough",10,5,4,40,11,3,"9-11"
"481",3,"Rough",10,5,2,28,12,3,"9-11"
"482",3,"Rough",10,4,3,30,13,3,"9-11"
"483",3,"Rough",10,7,0,45,14,3,"9-11"
"484",3,"Rough",10,2,6,7,15,3,"9-11"
"485",3,"Rough",10,7,7,3,16,3,"9-11"
"486",3,"Rough",10,0,4,23,17,3,"9-11"
